,YEAR,EXCUR2,EXCUR3
0,1948,2,0
1,1949,3,0
2,1950,0,0
3,1951,5,0
4,1952,5,0
5,1953,0,0
6,1954,6,1
7,1955,1,0
8,1956,5,0
9,1957,0,0
10,1958,3,0
11,1959,1,0
12,1960,0,0
13,1961,0,0
14,1962,0,0
15,1963,2,0
16,1964,1,0
17,1965,1,0
18,1966,0,0
19,1967,1,0
20,1968,0,0
21,1969,2,0
22,1970,1,0
23,1971,3,1
24,1972,0,0
25,1973,0,0
26,1974,1,0
27,1975,2,0
28,1976,0,0
29,1977,2,0
30,1978,1,0
31,1979,0,0
32,1980,2,0
33,1981,12,1
34,1982,4,0
35,1983,5,2
36,1984,1,0
37,1985,8,1
38,1986,2,0
39,1987,7,1
40,1988,4,0
41,1989,13,0
42,1990,9,0
43,1991,6,0
44,1992,5,0
45,1993,5,0
46,1994,3,0
47,1995,9,1
48,1996,2,0
49,1997,1,0
50,1998,9,0
51,1999,8,0
52,2000,2,0
53,2001,1,0
54,2002,4,0
55,2003,5,0
56,2004,1,0
57,2005,4,0
58,2006,3,0
59,2007,5,0
60,2008,8,1
61,2009,11,0
62,2010,13,0
63,2011,8,0
64,2012,0,0
65,2013,2,0
66,2014,4,0
67,2015,9,1
68,2016,3,0
69,2017,5,1
70,2018,1,0
71,2019,18,0
72,2020,22,2
73,2021,7,0
74,2022,12,0
